"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Call of the Night, Vol. 11 (11)","Kotoyama","VIZ Media LLC","2023-03-14","Paperback","192","よふかしのうた [Yofukashi no Uta]","11","English","9781974736768","","https://www.amazon.com/dp/1974736768?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Jkkrxsk+L._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Now that Ko and Nazuna know the identity of the vampire responsible for the deaths of Kyoko’s parents, they are on high alert. Is it possible to seek justice— or to at least prevent her from wreaking another path of destruction? The answers will test Ko’s human friendships as well as his own humanity…","","6.7","Horror","4.34","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 12 (12)","Kotoyama","VIZ Media LLC","2023-06-13","Paperback","192","よふかしのうた [Yofukashi no Uta]","12","English","9781974738595","","https://www.amazon.com/dp/1974738590?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51IFjCa1D4L._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Our human friends are attacked by a mysterious male vampire. Luckily—or unluckily, depending on your point of view—Ko’s half-vampire mode is growing ever more powerful. Who turned the attacker, and what is he after? No sooner are these questions answered than new ones arise as a second attacker arrives on the scene—and she’s targeting both humans and vampires!","","7.46","Horror","4.35","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 13 (13)","Kotoyama","VIZ Media LLC","2023-09-12","Paperback","192","よふかしのうた [Yofukashi no Uta]","13","English","9781974740383","","https://www.amazon.com/dp/1974740382?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51iswO-yJ7L._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Ko’s powers increase formidably and dangerously. Nazuna learns a new vampire rule about love that could be her undoing. To make matters worse, an enemy discovers the object capable of destroying her! Meanwhile, while Azami and Susuki continue to pursue heartless vampire Kiku, Kiku meets...Mahiru’s mom?","","7.57","Horror","4.28","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 14","Kotoyama","VIZ Media LLC","2022-06-14","Paperback","192","よふかしのうた [Yofukashi no Uta]","14","eng","9781974741007","","https://www.goodreads.com/book/show/101159280-call-of-the-night-vol-14","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706025181l/101159280._SX98_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

To sign up for his class trip to Hokkaido, Ko has to, well, go to school! His estranged friend Mahiru decides to travel to the island as well, along with an unwelcome companion (unwelcome to Ko and company, that is). And things only get worse when Ko’s fanged female followers join him and Akira on the train ride there!","","","Manga","4.24","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 15 (15)","Kotoyama","VIZ Media LLC","2024-03-12","Paperback","192","よふかしのうた [Yofukashi no Uta]","15","English","9781974743636","","https://www.amazon.com/dp/1974743632?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51bH05xiUjL._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Vampire Haruka turns out to be a menace when he attacks one of Ko’s classmates and asks Nazuna on a date. Which will tick off Ko more? Meanwhile, Mahiru and Kiku prepare for the ultimate test of their love. Is it really possible for vampires to turn human again? Plus, school trip group bathing!","","10.1","Horror","4.23","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 16 (16)","Kotoyama","VIZ Media LLC","2024-06-11","Paperback","192","よふかしのうた [Yofukashi no Uta]","16","English","9781974745784","","https://www.amazon.com/dp/1974745783?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41iBB5RWz1L._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

While Ko does his best to repair his friendship with Mahiru, Mahiru comes to a momentous decision regarding his romantic relationship with vampire Kiku. But first he opens his heart to Nazuna about his troubled relationship with his family. And then Ko and Kyoko finally confront Kiku...","","11.15","Horror","4.29","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 17 (17)","Kotoyama","VIZ Media LLC","2024-09-10","Paperback","200","よふかしのうた [Yofukashi no Uta]","17","English","9781974748723","","https://www.amazon.com/dp/1974748723?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41OgUmIUnPL._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Ko’s school trip is full of surprises as he forges connections with old and new friends. Kyoko pursues a lead regarding the truth about her father. And Mahiru and Kiku take the final steps in their relationship as human and vampire…leaving Ko with a lot to process.","","11.15","Horror","4.42","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 18 (18)","Kotoyama","VIZ Media LLC","2024-12-10","Paperback","192","よふかしのうた [Yofukashi no Uta]","18","English","9781974749416","","https://www.amazon.com/dp/197474941X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51K-gXrpwkL._SL500_.jpg","Now that half-vampire Ko has destroyed her entire building, Nazuna must find a new home fit for a vampire. Meanwhile, Ko begins attending school in the daytime again, forcing him to deal with, well, people. Then, will Nazuna’s developing feelings threaten the object of her affection?","","10.1","Horror","4.24","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 19 (19)","Kotoyama","VIZ Media LLC","2025-03-11","Paperback","208","よふかしのうた [Yofukashi no Uta]","19","English","9781974752157","","https://www.amazon.com/dp/1974752151?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51vT6cLDGQL._SL500_.jpg","Nazuna gets jealous when Ko spends most of his time at school and with his human friends. Is he secretly dating someone? At the same time, Ko notices that Nazuna hasn’t been sucking his blood. Is she sourcing her meals elsewhere? One thing’s for sure—it’s time they both face their true feelings for each other and deal with the consequences!","","11.99","Shonen","4.29","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 2 (2)","Kotoyama","VIZ Media LLC","2021-06-08","Paperback","192","よふかしのうた [Yofukashi no Uta]","2","English","9781974720576","","https://www.amazon.com/dp/1974720578?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Pa5dOTpwL._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too. 
But transformation doesn’t come that easily...

What’s the difference between desire and love? Does Nazuna know any better than Ko? What about Ko’s childhood friend Akira? Unable to answer these romantic questions, Ko and Nazuna go swimming. Turns out bathing beauties at pools are just as hot at night as in the blazing sunshine at the beach. Then, Ko gets jealous when he learns about Nazuna’s night job... But when she drafts him into temping for her, the two of them join forces to save a client from her boss—and herself.","","8.41","Horror","4.08","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 20 (20)","Kotoyama","VIZ Media LLC","2025-06-10","Paperback","208","よふかしのうた [Yofukashi no Uta]","20","English","9781974755660","","https://www.amazon.com/dp/1974755665?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41Qwg9bzBzL._SL500_.jpg","完結巻! 夜に出会えた全てにありがとう。

ついに互いへの恋愛感情を自覚したコウとナズナ。

しかしそれは、吸血鬼と人間、ふたりの関係が
これ以上 今のままでいられないことを示していた。

「楽しかった!君に会えて良かった!」

恋と青春は真夜中に生まれた。
ふたり たのし よふかしラブストーリー完結!!","","11.99","Shonen","4.17","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 3 (3)","Kotoyama","VIZ Media LLC","2021-08-10","Paperback","208","よふかしのうた [Yofukashi no Uta]","3","English","9781974720804","","https://www.amazon.com/dp/1974720802?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51VxVOwxaIL._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Nazuna isn’t the only one who thinks Ko is a delicious snack. And Ko isn’t the only one who gets jealous. When Ko draws the attention of four other vampire girls with nefarious intentions, he must fight for his life—even though he wants to give it up to become a vampire. But only to a certain special someone. Unfortunately, there’s a time limit on being “turned,” which raises the...uh...stakes. Then, Ko follows some dating advice that backfires. Undeterred, he tries to help another vampire and mortal mend their love/hate relationship.","","11.15","Horror","4.15","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 4 (4)","Kotoyama","VIZ Media LLC","2021-10-12","Paperback","192","よふかしのうた [Yofukashi no Uta]","4","English","9781974723041","","https://www.amazon.com/dp/1974723046?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51umMk4zs9S._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Nazuna can’t let her guard down for a second now that a flock of hot vampire women is interested in Ko’s hot blood! Then, when she takes a shift at a Maid Café where the customer is always right, the vampire is always wrong! Akira meets the girl Ko rejected before he met Nazuna, and Ko meets a private detective searching for someone he knows. Plus, a late-night visit to Ko’s school to ghost bust spooky legends leads to a thought-provoking lesson about the drawbacks of giving up your humanity...","","11.99","Horror","4.16","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 5 (5)","Kotoyama","VIZ Media LLC","2021-12-14","Paperback","192","よふかしのうた [Yofukashi no Uta]","5","English","9781974724086","","https://www.amazon.com/dp/1974724085?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51VD8Qc3tbS._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Ko seriously considers the pros and cons of becoming a vampire. But every human has a different take on it, and one just wants to kill them all! Then, when the police are alerted to Ko’s nighttime jaunts, they start to cramp his style. Ko learns something surprising about vampire Haka—and gets a tempting offer. Nazuna has a change of heart—but not about everything. And Ko wants to know what vampire Kiku’s intentions are regarding Ko’s deliciously human friend Mahiru...","","11.99","Horror","4.29","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 6 (6)","Kotoyama","VIZ Media LLC","2022-02-08","Paperback","192","よふかしのうた [Yofukashi no Uta]","6","English","9781974725908","","https://www.amazon.com/dp/1974725901?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/513XLtmJ0CL._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

Although Ko happily goes on a sightseeing trip to Tokyo with Nazuna, he tries to warn his childhood friend Mahiru about the dangers of dating vampire Kiku. And that’s before Ko learns a disturbing secret about her! Meanwhile, Detective Anko pursues one of Nazuna’s vampire friends with some stabby extralegal justice in mind. To prevent Anko from exploiting their weaknesses, the gaggle of vampire women must delve deep into their pasts. Unfortunately, Nazuna can’t remember anything from her human life! Will a decades-old appointment card be the clue to finding out who “turned” Nazuna...and why?","","8.5","Horror","4.30","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 7 (7)","Kotoyama","VIZ Media LLC","2022-04-12","Paperback","192","よふかしのうた [Yofukashi no Uta]","7","English","9781974726431","","https://www.amazon.com/dp/1974726436?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/417IDIBmYfL._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

When Nazuna and the gang track down the secrets of her past, every answer only leads to another question. Who turned whom, exactly? What chain of events and relationships made Nazuna into the—uh—person she is today? Midori, on the other hand, would rather her human existence remain buried. But then she meets one of her “offspring” with a mysterious secret... Meanwhile, detective Anko pursues her vendetta against all vampire kind, invading their private lives and spaces!","","11.99","Horror","4.36","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 8 (8)","Kotoyama","VIZ Media LLC","2022-06-14","Paperback","192","よふかしのうた [Yofukashi no Uta]","8","English","9781974730087","","https://www.amazon.com/dp/1974730085?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41x-0Hw7HHL._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

A visit to the night school Nazuna attended years ago yields new insights into her forgotten past. Niko, her former vampire instructor, reminds Nazuna about her first friend, Kyoko. To aid in the investigation, Ko must pretend to return the affections of a boy-crazy student. Then, as more clues are discovered, a tale of friendship, betrayal, and murder unfolds...","","9.99","Horror","4.38","07/18/2025","","","","","","","","Call of the Night"
"Call of the Night, Vol. 9 (9)","Kotoyama","VIZ Media LLC","2022-09-13","Paperback","192","よふかしのうた [Yofukashi no Uta]","9","English","9781974734221","","https://www.amazon.com/dp/1974734226?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51H7epw9d6L._SL500_.jpg","Nazuna is a vampire.
That’s okay with human Ko. He wants to be one too.
But transformation doesn’t come that easily...

The tragedy of vampire hunter Anko’s past and her former relationship with Nazuna is finally revealed. But old ties don’t always lead to new ones… Then, on Halloween, while Ko suffers through a date with Rila, Anko goes on a rampage—and our gang of vampire frenemies isn’t her only target!","","9.29","Horror","4.43","07/18/2025","","","","","","","","Call of the Night"
"Chitose Is in the Ramune Bottle, Vol. 1 (Volume 1) (Chitose Is in the Ramune Bottle, 1)",", hiromu; , Raemz; , raemz","Yen On","2022-03-15","Paperback","280","Chitose Is in the Ramune Bottle Light Novel","1","English","9781975339050","","https://www.amazon.com/dp/1975339053?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51nA8K12-NL._SL500_.jpg","Being popular isn’t easy. It’s hard to beat Saku Chitose. The most popular kid in his high school? Check. An ironclad reputation that can weather even vicious online attacks? Check. A group of friends as attractive on the outside as they are inside? Check. But when a teacher asks for his help bringing back a student who has been shut away in his room for months, Saku’s perfect world will never be the same. What is this, some kind of normie harem story...?","","13.95","Genre Fiction","3.91","07/18/2025","","","","","","","","Chitose is in the Ramune Bottle"
"Citrus Vol. 1",", Saburouta; Ross, Catherine","Seven Seas","2014-12-16","Paperback","180","Citrus","1","English","9781626921405","","https://www.amazon.com/dp/1626921407?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51FXE0LaDIL._SL500_.jpg","Citrus is an all-new yuri manga series that offers a bittersweet love story coupled with gorgeous artwork. Fans of Morinaga Milk’s Girl Friends will find themselves enthralled with Citrus’s unique blend of comedy, melodrama, and secret desire between girls.


Aihara Yuzu, a high school girl whose main interests are fashion, friends, and having fun, is about to get a reality check. Due to her mom's remarriage, Yuzu has transferred to a new, all-girls school that is extremely strict. Her real education is about to begin.


From day one, happy-go-lucky Yuzu makes enemies, namely the beautiful yet stern student council president Mei. So what happens when a dejected Yuzu returns home and discovers the shock of her life: that Mei is actually her new step-sister who has come to live with her? Even more surprising, when Mei catches Yuzu off guard and kisses her out of the blue, what does it all mean?

","","13.99","Romance","3.7","07/18/2025","","","","","","","","Citrus"
"Citrus Vol. 2",", Saburouta; Ross, Catherine","Seven Seas","2015-04-07","Paperback","160","Citrus","2","English","9781626921412","","https://www.amazon.com/dp/1626921415?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51IUxxVwewL._SL500_.jpg","A yuri tale like no other, now a New York Times manga best seller!

Yuzu and Mei may be step-sisters, but that's about all the two girls have in common. Yuzu is an outgoing girly-girl who cares more about fashion than school work, while Mei is the serious student council president. Yet despite their differences, or perhaps because of them, the two girls find themselves drawn to each other...

Mei has been running herself ragged trying to oversee the school, and Yuzu is worried about her. When Mei's dad comes home from a business trip, however, it looks like the cavalry has arrived. Unfortunately, his presence opens up old wounds between father and daughter, and Yuzu finds herself caught in the middle. Will Yuzu put aside her feelings for Mei to help fix this family feud?","","13.99","Romance","3.89","07/18/2025","","","","","","","","Citrus"
"Citrus Vol. 3","Saburouta","Seven Seas","2015-08-18","Paperback","180","Citrus","3","English","9781626921641","","https://www.amazon.com/dp/1626921644?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/515xHK5WXML._SL500_.jpg","Yuzuko Aihara, a high school girl whose main interests are fashion, friends and having fun, is about to get a reality check. Due to her mom's remarriage, Yuzu has transfered to a new, all-girls school that is extemely strict. Her real education is about to begin.

From Day One, happy-go-lucky Yuzu makes enemies, namely the beautiful yet stern Student Council President Mei. So what happens when a dejected Yuzu returns home and discovers the shock of her life: that Mei is actually her new step-sister who has come to live with her? Even more surprising, when Mei catches Yuzu offguard and kisses her out of the blue, what does it all mean?","","21.5","Romance","3.86","07/18/2025","","","","","","","","Citrus"
"Citrus Vol. 4","Saburouta","Seven Seas","2015-12-29","Paperback","180","Citrus","4","English","9781626922174","","https://www.amazon.com/dp/1626922179?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51-Xqj49ExL._SL500_.jpg","True Confessions

Ever since their first kiss, Yuzu can't stop thinking about Mei, her stern sexy step-sister. Now Mei seems to have done a total one-eighty, ignoring Yuzu at every turn and giving her the cold shoulder.

Yuzu can't understand why Mei is acting so distant but she decides to try and patch things up with her step-sis while on a school trip to Kyoto. However, she's not the only one who has her eye on Mei. Sara, a vivacious girl with boundless energy, happens to bump into Mei and falls in love with her at first sight. To make matters worse, Sara's twin sister, Nina, is willing to do whatever it takes to ensure that Sara gets what she wants. Can Yuzu fix things between herself and Mei, or will the twins break up their bond for good?","","13.99","Romance","3.94","07/18/2025","","","","","","","","Citrus"
"Citrus Vol. 5","Saburouta","Seven Seas","2016-09-06","Paperback","160","Citrus","5","English","9781626922679","","https://www.amazon.com/dp/1626922675?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51ZdmiP3m3L._SL500_.jpg","For fans of Girl Friends and Strawberry Panic comes the New York Times Bestselling yuri series!

Yuzuko Aihara, a high school girl whose main interests are fashion, friends, and having fun, is about to get a reality check. Due to her mom’s remarriage, Yuzu has transfered to a new, all-girls school that is extemely strict. Her real education is about to begin.

From Day One, happy-go-lucky Yuzu makes enemies, namely the beautiful yet stern Student Council President Mei. So what happens when a dejected Yuzu returns home and discovers the shock of her life: that Mei is actually her new step-sister who has come to live with her? Even more surprising, when Mei catches Yuzu off-guard and kisses her out of the blue, what does it all mean?","","13.99","Romance","3.98","07/18/2025","","","","","","","","Citrus"
"Citrus Vol. 6","Saburouta","Seven Seas","2017-08-22","Paperback","180","Citrus","6","English","9781626925120","","https://www.amazon.com/dp/1626925127?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/619RxfEb5jL._SL500_.jpg","As the big sister in the family, Yuzu wants to take the lead in her relationship with Mei. But courting your step-sister is a huge challenge, so she turns to the research shes compiled in her secret notebook. With the help of her Fall in Love With Mei and Live Happily Ever After Plan, Yuzu decides its time to take the first step: invite Mei on a date. But before she can, Mei discovers the secret notebook...","","13.78","Romance","4.07","07/18/2025","","","","","","","","Citrus"
"Citrus Vol. 7","Saburouta","Seven Seas","2018-02-13","Paperback","160","Citrus","7","English","9781626926851","","https://www.amazon.com/dp/1626926859?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/61vvUU4Qv2L._SL500_.jpg","It's summer break -- but instead of spending her vacation with Mei, Yuzu is stuck in summer school. On her first day, she meets a strange girl with an uncanny talent for observation. Will the new girl discover Yuzu's secret relationship with Mei...?!","","159.99","Romance","4.00","07/18/2025","","","","","","","","Citrus"
"Citrus Vol. 8","Saburouta","Seven Seas","2018-08-28","Paperback","180","Citrus","8","English","9781626928947","","https://www.amazon.com/dp/1626928940?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51f-4E+Q7wL._SL500_.jpg","For fans of Girl Friends and Strawberry Panic comes the New York Times bestselling yuri series--now with an anime adaptation!

Yuzuko Aihara, a high school girl whose main interests are fashion, friends, and having fun, is about to get a reality check. Due to her mom’s remarriage, Yuzu has transferred to a new, all-girls school that is extremely strict. Her real education is about to begin.

From Day One, happy-go-lucky Yuzu makes enemies, namely the beautiful yet stern Student Council President Mei. So what happens when a dejected Yuzu returns home and discovers the shock of her life: that Mei is actually her new step-sister who has come to live with her? Even more surprising, when Mei catches Yuzu off guard and kisses her out of the blue, what does it all mean?","","22.27","Romance","4.01","07/18/2025","","","","","","","","Citrus"
"Citrus Vol. 9","Saburouta","Seven Seas","2019-03-19","Paperback","144","Citrus","9","English","9781642750119","","https://www.amazon.com/dp/1642750115?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51mM+S2VxYL._SL500_.jpg","rare book","","13.99","Romance","4.08","07/18/2025","","","","","","","","Citrus"
"DARLING in the FRANXX Vol. 1-2",", Code:000; Yabuki, Kentaro","Ghost Ship","2022-04-05","Paperback","368","ダーリン・イン・ザ・フランキス [Darling in the Franxx]","","English","9781638581437","","https://www.amazon.com/dp/1638581436?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51iQMUEl6YL._SL500_.jpg","Horned Up and Ready to Ride!

In a devastated post-apocalyptic future, Earth is a desolate wasteland. Humanity’s only remaining strongholds are mobile fortress cities called Plantations, defended by giant robots known as FRANXX, who drive back the massive predatory Klaxosaurs that now roam the land. Failed pilot Hiro would be out there fighting them if he hadn’t screwed it all up. But a chance encounter with a mysterious horned girl is about to change the course of his life—and his destiny piloting the FRANXX.","","18.98","Science Fiction","3.99","07/18/2025","","","","","","","","Darling in the Franxx"
"DARLING in the FRANXX Vol. 5-6",", Code:000; Yabuki, Kentaro","Ghost Ship","2022-09-20","Paperback","368","ダーリン・イン・ザ・フランキス [Darling in the Franxx]","","English","9781638586746","","https://www.amazon.com/dp/1638586748?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51AjMNmN2nL._SL500_.jpg","Don’t Let Go!

Hiro and the other parasites are granted a much-needed beach vacation. However, instead of unwinding in relaxation, things intensify among the members of Squad 13—especially Zero Two and Ichigo. While Zero Two balks at taking orders from anyone, Ichigo strives to be the leader that Squad 13 needs. When a new type of Klaxosaur arrives, will the squad be able to work together to take it down before it destroys the Plantation? Or will their emotions get the better of them?","","15.37","Science Fiction","4.27","07/18/2025","","","","","","","","Darling in the Franxx"
"DARLING in the FRANXX Vol. 7-8","Yabuki, Kentaro; , Code:000","Ghost Ship","2022-12-13","Paperback","400","ダーリン・イン・ザ・フランキス [Darling in the Franxx]","","English","9781638588528","","https://www.amazon.com/dp/163858852X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51OiB9li7dL._SL500_.jpg","Final Showdown!

The Klaxosaur Princess has emerged, determined to enact vengeance on humanity for killing her species. Having annihilated most of the 9’s, she’s now set her sights on the Plantations. Squad 13 prepares for their greatest battle, but after Zero Two starts hearing the Klaxosaur Princess in her head, she goes rogue! As Hiro’s foggy memories of his past clear, he makes a startling revelation and sets out to save all that he holds dear. Can he make it in time? Don’t miss the epic conclusion of Darling in the FRANXX!","","15.64","Science Fiction","4.38","07/18/2025","","","","","","","","Darling in the Franxx"
"Daytime Shooting Star, Vol. 1 (1)","Yamamori, Mika","VIZ Media LLC","2019-07-02","Paperback","200","ひるなかの流星 [Hirunaka no Ryuusei]","1","English","9781974706679","","https://www.amazon.com/dp/1974706672?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51+K-7T+1tL._SL500_.jpg","Optimistic high schooler Suzume moves to Tokyo and finds her heart caught between two men!

After arriving in Tokyo to live with her uncle, Suzume collapses in a nearby park where she had once seen a shooting star during the day. A handsome stranger brings her to her new home and tells her they’ll meet again. Suzume starts her first day at her new high school sitting next to a boy who blushes furiously at her touch. And her homeroom teacher is none other than the handsome stranger!","","9.29","Manga","4.17","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 10 (10)","Yamamori, Mika","VIZ Media LLC","2021-01-05","Paperback","200","ひるなかの流星 [Hirunaka no Ryuusei]","10","English","9781974715107","","https://www.amazon.com/dp/1974715108?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51y7pl1GdeL._SL500_.jpg","Suzume has moved to Tokyo and is living with her uncle. Mamura’s sudden confession of love leaves Suzume’s head spinning. After spending the entire night agonizing over how to respond to him, she finally decides to give Mamura a chance. But soon after she makes her choice, Mr. Shishio throws her a curveball.","","8.89","Manga","4.29","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 11 (11)","Yamamori, Mika","VIZ Media LLC","2021-03-02","Paperback","200","ひるなかの流星 [Hirunaka no Ryuusei]","11","English","9781974715114","","https://www.amazon.com/dp/1974715116?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51xTZukbegL._SL500_.jpg","Suzume has moved to Tokyo and is living with her uncle. Mr. Shishio once again declares his love to Suzume, but this time around she can’t find it in her heart to trust his words. Instead she chooses to focus on strengthening her relationship with Mamura. But when Mr. Shishio and Mamura face off in a relay race for Sports Day, just who will Suzume root for?","","9.99","Manga","4.27","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 12 (12)","Yamamori, Mika","VIZ Media LLC","2021-05-04","Paperback","208","ひるなかの流星 [Hirunaka no Ryuusei]","12","English","9781974715121","","https://www.amazon.com/dp/1974715124?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41FSkiXZMlL._SL500_.jpg","Suzume has moved to Tokyo and is living with her uncle. Suzume and Mamura enjoy some much-needed alone time in Okinawa. That is, until Suzume spots a guy who looks a lot like Mr. Shishio. Finally, the time has come for Suzume to confront her feelings once and for all. Who will she choose? Find out in the series’ dramatic conclusion!","","9.29","Manga","4.36","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 2 (2)","Yamamori, Mika","VIZ Media LLC","2019-09-03","Paperback","200","ひるなかの流星 [Hirunaka no Ryuusei]","2","English","9781974706686","","https://www.amazon.com/dp/1974706680?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51zvaJhpfjL._SL500_.jpg","Optimistic high schooler Suzume moves to Tokyo and finds her heart caught between two men!

After arriving in Tokyo to live with her uncle, Suzume collapses in a nearby park when she recallsm once seeing a shooting star during the day. A handsome stranger brings her to her new home and tells her they’ll meet again. Suzume starts her first day at her new high school sitting next to a boy who blushes furiously at her touch. And her homeroom teacher is none other than the handsome stranger!

Suzume has moved to Tokyo and is living with her uncle. She soon realizes that she is attracted to her homeroom teacher, Mr. Shishio. Although she tries to deny her feelings, they only grow stronger. But then her classmate Mamura does something that leaves her speechless!","","9.79","Manga","4.25","07/18/2025","","","","","","","","Daytime Shooting Star"
