"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"A Tropical Fish Yearns for Snow, Vol. 2 (2)","Hagino, Makoto; Werry, John","VIZ Media LLC","2020-02-11","Paperback","192","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","2","English","9781974710591","","https://www.amazon.com/dp/1974710599?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51TydLW1NtL._SL500_.jpg","From the moment they met at the Aquarium Club’s open house, Konatsu has admired Koyuki and treated her like she wasn’t a distant figure on a pedestal. In turn, Koyuki has been open and welcoming to the new girl who stirs her heart. When the time comes to pick a club, Konatsu chooses the Aquarium Club with Koyuki. And even though it’s just the two of them, they manage to host a successful open house. What’s next for Koyuki and Konatsu, now that the shared experience has deepened the bond between them?","","9.99","Shojo","4.09","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
"A Tropical Fish Yearns for Snow, Vol. 3 (3)","Hagino, Makoto","VIZ Media LLC","2020-05-12","Paperback","168","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","3","English","9781974710607","","https://www.amazon.com/dp/1974710602?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/518WiOK+3+L._SL500_.jpg","わたしの“特別”が、 どうか、あなたにとっても そうでありますように。

七浜高校水族館部のふたりきりの部員となった、小雪と小夏。
小雪は高嶺の花の優等生として、小夏は都会からの転校生として、
異なる孤独を抱え、お互いに惹かれ合っていく。
連れ立って町の夏祭りへ出かけたある日、
小夏は、以前から気になっていたことを小雪に問いかける。
「初めて会ったあのとき、どうしてわたしに声をかけてくれたんですか?」
小雪は戸惑いながら、慎重に言葉を紡ぐが、
うまくまとまらず、不器用な答えにしかならない。

気まずい雰囲気が流れる中、それでも、
お互いの距離を確かめ合ったふたりは――?","","9.9","Shojo","4.01","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
"A Tropical Fish Yearns for Snow, Vol. 4 (4)","Hagino, Makoto","VIZ Media LLC","2020-08-11","Paperback","168","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","4","English","9781974715442","","https://www.amazon.com/dp/1974715442?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Rkao9NGXL._SL500_.jpg","この涙の意味を、 君はいつ知るだろうか。

ふたりきりの七浜高校水族館部として活動する、小雪と小夏。
孤独を埋める存在から、やがてかけがえのない存在として、
お互いを思い合うようになっていく。
そんなある日、水族館が公開される文化祭を、
小雪は風邪で休んでしまう。
そして、見舞いに訪れた小夏のイタズラな一言をきっかけに、
小夏がかつて口にした、「蛙になれたら」という
言葉の真意について、小雪は思いを馳せることになる。

ぐるぐると思い悩む時間の中で、
お互いを大切な存在と自覚しはじめたふたりは――。","","9.95","Shojo","4.10","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
"A Tropical Fish Yearns for Snow, Vol. 5 (5)","Hagino, Makoto","VIZ Media LLC","2020-11-10","Paperback","168","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","5","English","9781974715497","","https://www.amazon.com/dp/1974715493?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51VWreCWgyL._SL500_.jpg","When her dad gets a job overseas, Konatsu Amano has to leave the Tokyo life she’s always known and relocate to a small seaside town to stay with her aunt. The move also means starting a new school surrounded by complete strangers, and it’s a lot to handle for a girl who has trouble with change. But on her first day in her new town, Konatsu is instantly drawn to Koyuki, an older girl who is the sole member of the Aquarium Club. Konatsu’s introverted tendencies are hard for her to overcome, but maybe she’s found something worth coming out of her shell for?

The day of the Aquarium Club’s open house has finally arrived, and the shark show is a great success. Koyuki is so thrilled by the victory that she actually jumps for joy. But baring her feelings in front of everyone is too much for her to handle, and she ends up running away. Thankfully Koyuki’s family and Konatsu accept her just the way she is. And as Koyuki and Konatsu spend more time together, each of the girls finds a place in her heart for the other.","","9.95","Shojo","4.06","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
"A Tropical Fish Yearns for Snow, Vol. 6 (6)","Hagino, Makoto","VIZ Media LLC","2021-02-09","Paperback","178","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","6","English","9781974720682","","https://www.amazon.com/dp/1974720683?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51P6b7aYLbL._SL500_.jpg","When her dad gets a job overseas, Konatsu Amano has to leave the Tokyo life she’s always known and relocate to a small seaside town to stay with her aunt. The move also means starting a new school surrounded by complete strangers, and it’s a lot to handle for a girl who has trouble with change. But on her first day in her new town, Konatsu is instantly drawn to Koyuki, an older girl who is the sole member of the Aquarium Club. Konatsu’s introverted tendencies are hard for her to overcome, but maybe she’s found something worth coming out of her shell for?

Koyuki and Konatsu have both started to see the other as important, but they’re still unable to be honest about their feelings. This leads to frustrating days when they’re never in sync, and they begin to drift apart. Then one day Konatsu sees Koyuki and her classmate Kaede spending time together as if they’re the best of friends, and she can’t contain her agitation. Konatsu and Koyuki feel so strongly about each other that they feel uneasy even when there’s nothing to worry about.","","9.96","Shojo","3.97","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
"A Tropical Fish Yearns for Snow, Vol. 7 (7)","Hagino, Makoto","VIZ Media LLC","2021-05-11","Paperback","178","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","7","English","9781974722259","","https://www.amazon.com/dp/1974722252?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51ltklJfjhL._SL500_.jpg","When her dad gets a job overseas, Konatsu Amano has to leave the Tokyo life she’s always known and relocate to a small seaside town to stay with her aunt. The move also means starting a new school surrounded by complete strangers, and it’s a lot to handle for a girl who has trouble with change. But on her first day in her new town, Konatsu is instantly drawn to Koyuki, an older girl who is the sole member of the Aquarium Club. Konatsu’s introverted tendencies are hard for her to overcome, but maybe she’s found something worth coming out of her shell for?

Konatsu senses that she and Koyuki, the only two members of the Aquarium Club, are connected by loneliness, and she’s afraid that her bond with Koyuki is weakening as it gradually changes. When Konatsu’s feelings finally erupt, Koyuki resolves to face her head-on, leading to a clash of feelings before the girls can confirm how important they are to each other.","","9.0","Shojo","4.06","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
"A Tropical Fish Yearns for Snow, Vol. 8 (8)","Hagino, Makoto","VIZ Media LLC","2021-12-14","Paperback","184","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","8","English","9781974725243","","https://www.amazon.com/dp/1974725243?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51yTFfHnKpS._SL500_.jpg","When her dad gets a job overseas, Konatsu Amano has to leave the Tokyo life she’s always known and relocate to a small seaside town to stay with her aunt. The move also means starting a new school surrounded by complete strangers, and it’s a lot to handle for a girl who has trouble with change. But on her first day in her new town, Konatsu is instantly drawn to Koyuki, an older girl who is the sole member of the Aquarium Club. Konatsu’s introverted tendencies are hard for her to overcome, but maybe she’s found something worth coming out of her shell for?

The Aquarium Club is finally coming alive after welcoming new members, but summer is nearing and Koyuki has started studying hard for exams. Working up her resolve, Koyuki invites Konatsu on a moonlit walk on the beach where she bares her heart about an important choice. Graduation is approaching and the time they have left together is more precious than ever, but how does Konatsu respond to hearing Koyuki’s decision?","","9.91","Shojo","3.92","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
"A Tropical Fish Yearns for Snow, Vol. 9 (9)","Hagino, Makoto; Werry, John","VIZ Media LLC","2022-07-26","Paperback","186","熱帯魚は雪に焦がれる [Nettaigyo wa Yuki ni Kogareru]","9","English","9781974730117","","https://www.amazon.com/dp/1974730115?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51+NSmCcu1L._SL500_.jpg","When her dad gets a job overseas, Konatsu Amano has to leave the Tokyo life she’s always known and relocate to a small seaside town to stay with her aunt. The move also means starting a new school surrounded by complete strangers, and it’s a lot to handle for a girl who has trouble with change. But on her first day in her new town, Konatsu is instantly drawn to Koyuki, an older girl who is the sole member of the Aquarium Club. Konatsu’s introverted tendencies are hard for her to overcome, but maybe she’s found something worth coming out of her shell for?

Even though life is changing for Koyuki and Konatsu, the Aquarium Club and the little salamander that brought them together will remain a special, immutable link between them in the days ahead. As autumn arrives and Koyuki’s graduation looms, Konatsu summons all her courage to confront one lingering doubt—must their friendship end just because their stories are diverging?","","9.99","Shojo","3.84","07/18/2025","","","","","","","","A Tropical Fish Yearns for Snow"
"Blade of the Immortal Deluxe Volume 1","Samura, Hiroaki","Dark Horse Manga","2020-10-27","Hardcover","576","","1","English","9781506720999","","https://www.amazon.com/dp/1506720994?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41z-ildBG3L._SL500_.jpg","Blade of the Immortal returns in deluxe hardcover editions, collecting Hiroaki Samura's epic series for the first time in its original 7x10 serialized format.

A cursed, seemingly immortal warrior aids a young girl in her quest for revenge, as the students of a brutal new sword school tear a bloody path across Japan. Hiroaki Samura's massive manga series spawned two anime adaptations, a spinoff novel, an art book, and a live-action film! Samura's storytelling tour-de-force also won Japan's Media Arts Award, several British Eagle Awards, and an Eisner Award, among other international accolades. Intense and audacious, Blade takes period samurai action and deftly combines it with a modernist street idiom to create a style and mood like no other work of graphic fiction.

Collects Blade of the Immortal volumes 1 to 3 in the original 7x10 serialized format, in a faux-leather hardcover treatment, and with a bookmark ribbon.","","24.98","Arts & Photography","","07/19/2025","1","","","","","","","Blade"
"Bleach, Vol. 1","Kubo, Tite","VIZ Media LLC","2004-07-06","Paperback","192","Bleach","1","English","9781591164418","","https://www.amazon.com/dp/1591164419?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/516WLV8lFCL._SL500_.jpg","Part-time student, full-time Soul Reaper, Ichigo is one of the chosen few guardians of the afterlife.

Ichigo Kurosaki never asked for the ability to see ghosts—he was born with the gift. When his family is attacked by a Hollow—a malevolent lost soul—Ichigo becomes a Soul Reaper, dedicating his life to protecting the innocent and helping the tortured spirits themselves find peace. Find out why Tite Kubo’s Bleach has become an international manga smash-hit!Ichigo Kurosaki has always been able to see ghosts, but this ability doesn't change his life nearly as much as his close encounter with Rukia Kuchiki, a Soul Reaper and member of the mysterious Soul Society. While fighting a Hollow, an evil spirit that preys on humans who display psychic energy, Rukia attempts to lend Ichigo some of her powers so that he can save his family; but much to her surprise, Ichigo absorbs every last drop of her energy. Now a full-fledged Soul Reaper himself, Ichigo quickly learns that the world he inhabits is one full of dangerous spirits and, along with Rukia--who is slowly regaining her powers--it's Ichigo's job to protect the innocent from Hollows and help the spirits themselves find peace.","","9.99","Fantasy","4.26","07/18/2025","","","","","","","","Bleach"
